anio	mes	estacion	ecoregion	nom_depto	grupo_edad	casos_lepto	poblacion
2010	1	Verano	Chaco Húmedo	VERA	15-24	2	9127
2010	1	Verano	Chaco Húmedo	VERA	25-44	1	13199
2010	1	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	0-9	1	32676
2010	1	Verano	Delta e Islas del Paraná	LA CAPITAL	10-14	3	44028
2010	1	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2010	1	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2010	1	Verano	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2010	1	Verano	Delta e Islas del Paraná	ROSARIO	45-64	2	242319
2010	1	Verano	Pampa	GENERAL LOPEZ	15-24	1	29189
2010	2	Verano	Chaco Húmedo	VERA	25-44	1	13199
2010	2	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	10-14	2	18224
2010	2	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2010	2	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2010	2	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2010	2	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2010	2	Verano	Delta e Islas del Paraná	ROSARIO	0-9	4	167758
2010	2	Verano	Delta e Islas del Paraná	ROSARIO	10-14	5	85729
2010	2	Verano	Delta e Islas del Paraná	ROSARIO	25-44	5	347729
2010	2	Verano	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2010	2	Verano	Espinal	SAN JERONIMO	25-44	1	21891
2010	2	Verano	Espinal	SAN JUSTO	15-24	1	6682
2010	2	Verano	Espinal	SAN JUSTO	25-44	1	10573
2010	2	Verano	Espinal	SAN JUSTO	45-64	1	8112
2010	3	Verano	Chaco Húmedo	VERA	0-9	1	9721
2010	3	Verano	Chaco Húmedo	VERA	10-14	1	5671
2010	3	Verano	Chaco Húmedo	VERA	15-24	1	9127
2010	3	Verano	Chaco Húmedo	VERA	25-44	3	13199
2010	3	Verano	Chaco Húmedo	VERA	45-64	5	9518
2010	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	0-9	1	32676
2010	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	10-14	2	18224
2010	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2010	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2010	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	45-64	1	32846
2010	3	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2010	3	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	2	101533
2010	3	Verano	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2010	3	Verano	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2010	3	Verano	Delta e Islas del Paraná	ROSARIO	45-64	3	242319
2010	3	Verano	Espinal	LAS COLONIAS	45-64	1	20761
2010	3	Verano	Pampa	SAN LORENZO	45-64	1	31147
