yearmon,estacion,min,max,prec,ecoreg,ecoregion,geometry
2009-01,INTA - RECONQUISTA (EMC),32.9516129032258,19.0612903225806,89.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-01,RECONQUISTA,18.8548387096774,32.9612903225807,99.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-02,INTA - RECONQUISTA (EMC),31.2,19.35,141.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-02,RECONQUISTA,19.4214285714286,31.5178571428571,252.6,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-03,INTA - RECONQUISTA (EMC),32.3064516129032,17.9161290322581,23.2,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-03,RECONQUISTA,18.1709677419355,31.6548387096774,19,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-04,INTA - RECONQUISTA (EMC),28.8966666666667,14.9733333333333,49.7,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-04,RECONQUISTA,14.8333333333333,29.0733333333333,32,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-05,INTA - RECONQUISTA (EMC),24.5387096774194,12.2322580645161,15.2,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-05,RECONQUISTA,12.2290322580645,24.3709677419355,15.6,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-06,INTA - RECONQUISTA (EMC),19.3333333333333,5.67333333333333,51.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-06,RECONQUISTA,6.11,19.5766666666667,36,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-07,INTA - RECONQUISTA (EMC),18.6935483870968,4.90645161290323,32.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-07,RECONQUISTA,4.85806451612903,18.9451612903226,25.6,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-08,INTA - RECONQUISTA (EMC),25.4709677419355,10.8290322580645,0.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-08,RECONQUISTA,10.8032258064516,25.4903225806452,0,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-09,INTA - RECONQUISTA (EMC),21.82,10.4766666666667,43.7,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-09,RECONQUISTA,10.5033333333333,22.28,38,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-10,INTA - RECONQUISTA (EMC),29.0193548387097,13.7741935483871,64.8,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-10,RECONQUISTA,14.3548387096774,29.2129032258065,41,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-11,INTA - RECONQUISTA (EMC),29.44,20.35,467.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-11,RECONQUISTA,21.0066666666667,30.2433333333333,430.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2009-12,INTA - RECONQUISTA (EMC),29.6903225806452,20.558064516129,251.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2009-12,RECONQUISTA,21.2,30.1967741935484,221.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2010-01,INTA - RECONQUISTA (EMC),31.4129032258065,21.8,97.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2010-01,RECONQUISTA,21.9064516129032,31.941935483871,172.9,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2010-02,INTA - RECONQUISTA (EMC),31.3178571428571,22.2142857142857,165,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2010-02,RECONQUISTA,22.65,31.6428571428571,202,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
